old_game_id,week,game_type,home_team,home_score,away_team,away_score,gameday,gametime,overtime,roof,surface,temp,wind,home_coach,away_coach,referee,stadium_id,stadium
2025090400,1,REG,PHI,24,DAL,20,2025-09-04,20:20,0,outdoors,grass,75,11,Nick Sirianni,Brian Schottenheimer,Shawn Smith,PHI00,Lincoln Financial Field
2025090500,1,REG,LAC,27,KC,21,2025-09-05,20:00,0,dome,,NA,NA,Jim Harbaugh,Andy Reid,Carl Cheffers,LAX01,SoFi Stadium
2025090700,1,REG,ATL,20,TB,23,2025-09-07,13:00,0,closed,fieldturf,NA,NA,Raheem Morris,Todd Bowles,Land Clark,ATL97,Mercedes-Benz Stadium
2025090701,1,REG,CLE,16,CIN,17,2025-09-07,13:00,0,outdoors,grass,63,10,Kevin Stefanski,Zac Taylor,Adrian Hill,CLE00,FirstEnergy Stadium
2025090702,1,REG,IND,33,MIA,8,2025-09-07,13:00,0,closed,fieldturf,NA,NA,Shane Steichen,Mike McDaniel,Brad Allen,IND00,Lucas Oil Stadium
2025090703,1,REG,JAX,26,CAR,10,2025-09-07,13:00,0,outdoors,grass,85,3,Liam Coen,Dave Canales,Alex Moore,JAX00,TIAA Bank Stadium
2025090704,1,REG,NE,13,LV,20,2025-09-07,13:00,0,outdoors,fieldturf,62,4,Mike Vrabel,Pete Carroll,Ron Torbert,BOS00,Gillette Stadium
2025090705,1,REG,NO,13,ARI,20,2025-09-07,13:00,0,dome,sportturf,NA,NA,Kellen Moore,Jonathan Gannon,Scott Novak,NOR00,Mercedes-Benz Superdome
2025090706,1,REG,NYJ,32,PIT,34,2025-09-07,13:00,0,outdoors,fieldturf,67,3,Aaron Glenn,Mike Tomlin,Bill Vinovich,NYC01,MetLife Stadium
2025090707,1,REG,WAS,21,NYG,6,2025-09-07,13:00,0,outdoors,grass,68,5,Dan Quinn,Brian Daboll,Clay Martin,WAS00,FedExField
2025090708,1,REG,DEN,20,TEN,12,2025-09-07,16:05,0,outdoors,grass,84,6,Sean Payton,Brian Callahan,Alex Kemp,DEN00,Empower Field at Mile High
2025090709,1,REG,SEA,13,SF,17,2025-09-07,16:05,0,outdoors,fieldturf,67,6,Mike Macdonald,Kyle Shanahan,Shawn Hochuli,SEA00,Lumen Field
2025090710,1,REG,GB,27,DET,13,2025-09-07,16:25,0,outdoors,grass,60,5,Matt LaFleur,Dan Campbell,Clete Blakeman,GNB00,Lambeau Field
2025090711,1,REG,LA,14,HOU,9,2025-09-07,16:25,0,dome,matrixturf,NA,NA,Sean McVay,DeMeco Ryans,Craig Wrolstad,LAX01,SoFi Stadium
2025090712,1,REG,BUF,41,BAL,40,2025-09-07,20:20,0,outdoors,a_turf,58,8,Sean McDermott,John Harbaugh,John Hussey,BUF00,New Era Field
2025090800,1,REG,CHI,24,MIN,27,2025-09-08,20:15,0,outdoors,grass,68,6,Ben Johnson,Kevin O'Connell,Alan Eck,CHI98,Soldier Field
2025091100,2,REG,GB,27,WAS,18,2025-09-11,20:15,0,outdoors,grass,65,7,Matt LaFleur,Dan Quinn,Brad Rogers,GNB00,Lambeau Field
2025091400,2,REG,BAL,41,CLE,17,2025-09-14,13:00,0,outdoors,grass,82,3,John Harbaugh,Kevin Stefanski,Brad Allen,BAL00,M&T Bank Stadium
2025091401,2,REG,CIN,31,JAX,27,2025-09-14,13:00,0,outdoors,fieldturf,85,3,Zac Taylor,Liam Coen,Alan Eck,CIN00,Paycor Stadium
2025091402,2,REG,DAL,40,NYG,37,2025-09-14,13:00,1,closed,matrixturf,NA,NA,Brian Schottenheimer,Brian Daboll,Bill Vinovich,DAL00,AT&T Stadium
2025091403,2,REG,DET,52,CHI,21,2025-09-14,13:00,0,dome,fieldturf,NA,NA,Dan Campbell,Ben Johnson,Land Clark,DET00,Ford Field
2025091404,2,REG,MIA,27,NE,33,2025-09-14,13:00,0,outdoors,grass,89,4,Mike McDaniel,Mike Vrabel,Alex Moore,MIA00,Hard Rock Stadium
2025091405,2,REG,NO,21,SF,26,2025-09-14,13:00,0,dome,sportturf,NA,NA,Kellen Moore,Kyle Shanahan,Shawn Smith,NOR00,Mercedes-Benz Superdome
2025091406,2,REG,NYJ,10,BUF,30,2025-09-14,13:00,0,outdoors,fieldturf,80,3,Aaron Glenn,Sean McDermott,Clete Blakeman,NYC01,MetLife Stadium
2025091407,2,REG,PIT,17,SEA,31,2025-09-14,13:00,0,outdoors,grass,79,5,Mike Tomlin,Mike Macdonald,Scott Novak,PIT00,Acrisure Stadium
2025091408,2,REG,TEN,19,LA,33,2025-09-14,13:00,0,outdoors,grass,83,3,Brian Callahan,Sean McVay,John Hussey,NAS00,Nissan Stadium
2025091409,2,REG,ARI,27,CAR,22,2025-09-14,16:05,0,closed,grass,NA,NA,Jonathan Gannon,Dave Canales,Ron Torbert,PHO00,State Farm Stadium
2025091410,2,REG,IND,29,DEN,28,2025-09-14,16:05,0,closed,fieldturf,NA,NA,Shane Steichen,Sean Payton,Craig Wrolstad,IND00,Lucas Oil Stadium
2025091411,2,REG,KC,17,PHI,20,2025-09-14,16:25,0,outdoors,grass,88,12,Andy Reid,Nick Sirianni,Alex Kemp,KAN00,GEHA Field at Arrowhead Stadium
2025091412,2,REG,MIN,6,ATL,22,2025-09-14,20:20,0,dome,sportturf,NA,NA,Kevin O'Connell,Raheem Morris,Adrian Hill,MIN01,U.S. Bank Stadium
2025091500,2,REG,HOU,19,TB,20,2025-09-15,19:00,0,closed,astroturf,NA,NA,DeMeco Ryans,Todd Bowles,Shawn Hochuli,HOU00,NRG Stadium
2025091501,2,REG,LV,9,LAC,20,2025-09-15,22:00,0,dome,grass,NA,NA,Pete Carroll,Jim Harbaugh,Clay Martin,VEG00,Allegiant Stadium
2025091800,3,REG,BUF,31,MIA,21,2025-09-18,20:15,0,outdoors,a_turf,68,7,Sean McDermott,Mike McDaniel,Alan Eck,BUF00,New Era Field
2025092100,3,REG,CAR,30,ATL,0,2025-09-21,13:00,0,outdoors,grass,83,5,Dave Canales,Raheem Morris,Craig Wrolstad,CAR00,Bank of America Stadium
2025092101,3,REG,CLE,13,GB,10,2025-09-21,13:00,0,outdoors,grass,79,10,Kevin Stefanski,Matt LaFleur,Carl Cheffers,CLE00,FirstEnergy Stadium
2025092102,3,REG,JAX,17,HOU,10,2025-09-21,13:00,0,outdoors,grass,85,11,Liam Coen,DeMeco Ryans,Alex Kemp,JAX00,TIAA Bank Stadium
2025092103,3,REG,MIN,48,CIN,10,2025-09-21,13:00,0,dome,sportturf,NA,NA,Kevin O'Connell,Zac Taylor,Ron Torbert,MIN01,U.S. Bank Stadium
2025092104,3,REG,NE,14,PIT,21,2025-09-21,13:00,0,outdoors,fieldturf,66,5,Mike Vrabel,Mike Tomlin,Clete Blakeman,BOS00,Gillette Stadium
2025092105,3,REG,PHI,33,LA,26,2025-09-21,13:00,0,outdoors,grass,73,9,Nick Sirianni,Sean McVay,Brad Rogers,PHI00,Lincoln Financial Field
2025092106,3,REG,TB,29,NYJ,27,2025-09-21,13:00,0,outdoors,grass,88,5,Todd Bowles,Aaron Glenn,Adrian Hill,TAM00,Raymond James Stadium
2025092107,3,REG,TEN,20,IND,41,2025-09-21,13:00,0,outdoors,grass,84,8,Brian Callahan,Shane Steichen,Scott Novak,NAS00,Nissan Stadium
2025092108,3,REG,WAS,41,LV,24,2025-09-21,13:00,0,outdoors,grass,72,6,Dan Quinn,Pete Carroll,Shawn Hochuli,WAS00,FedExField
2025092109,3,REG,LAC,23,DEN,20,2025-09-21,16:05,0,dome,matrixturf,NA,NA,Jim Harbaugh,Sean Payton,Shawn Smith,LAX01,SoFi Stadium
2025092110,3,REG,SEA,44,NO,13,2025-09-21,16:05,0,outdoors,fieldturf,63,3,Mike Macdonald,Kellen Moore,Alex Moore,SEA00,Lumen Field
2025092111,3,REG,CHI,31,DAL,14,2025-09-21,16:25,0,outdoors,grass,82,4,Ben Johnson,Brian Schottenheimer,Clay Martin,CHI98,Soldier Field
2025092112,3,REG,SF,16,ARI,15,2025-09-21,16:25,0,outdoors,grass,72,7,Kyle Shanahan,Jonathan Gannon,John Hussey,SFO01,Levi's Stadium
2025092113,3,REG,NYG,9,KC,22,2025-09-21,20:20,0,outdoors,fieldturf,65,5,Brian Daboll,Andy Reid,Land Clark,NYC01,MetLife Stadium
2025092200,3,REG,BAL,30,DET,38,2025-09-22,20:15,0,outdoors,grass,74,7,John Harbaugh,Dan Campbell,Bill Vinovich,BAL00,M&T Bank Stadium
2025092500,4,REG,ARI,20,SEA,23,2025-09-25,20:15,0,closed,grass,NA,NA,Jonathan Gannon,Mike Macdonald,Alex Kemp,PHO00,State Farm Stadium
2025092800,4,REG,PIT,24,MIN,21,2025-09-28,09:30,0,outdoors,grass,61,5,Mike Tomlin,Kevin O'Connell,Brad Allen,PIT00,Acrisure Stadium
2025092801,4,REG,ATL,34,WAS,27,2025-09-28,13:00,0,closed,fieldturf,NA,NA,Raheem Morris,Dan Quinn,Scott Novak,ATL97,Mercedes-Benz Stadium
2025092802,4,REG,BUF,31,NO,19,2025-09-28,13:00,0,outdoors,a_turf,73,7,Sean McDermott,Kellen Moore,Land Clark,BUF00,New Era Field
2025092803,4,REG,DET,34,CLE,10,2025-09-28,13:00,0,dome,fieldturf,NA,NA,Dan Campbell,Kevin Stefanski,Shawn Smith,DET00,Ford Field
2025092804,4,REG,HOU,26,TEN,0,2025-09-28,13:00,0,closed,astroturf,NA,NA,DeMeco Ryans,Brian Callahan,Brad Rogers,HOU00,NRG Stadium
2025092805,4,REG,NE,42,CAR,13,2025-09-28,13:00,0,outdoors,fieldturf,76,7,Mike Vrabel,Dave Canales,Bill Vinovich,BOS00,Gillette Stadium
2025092806,4,REG,NYG,21,LAC,18,2025-09-28,13:00,0,outdoors,fieldturf,81,4,Brian Daboll,Jim Harbaugh,Shawn Hochuli,NYC01,MetLife Stadium
2025092807,4,REG,TB,25,PHI,31,2025-09-28,13:00,0,outdoors,grass,88,6,Todd Bowles,Nick Sirianni,Alan Eck,TAM00,Raymond James Stadium
2025092808,4,REG,LA,27,IND,20,2025-09-28,16:05,0,dome,matrixturf,NA,NA,Sean McVay,Shane Steichen,Carl Cheffers,LAX01,SoFi Stadium
2025092809,4,REG,SF,21,JAX,26,2025-09-28,16:05,0,outdoors,grass,72,7,Kyle Shanahan,Liam Coen,Clete Blakeman,SFO01,Levi's Stadium
2025092810,4,REG,KC,37,BAL,20,2025-09-28,16:25,0,outdoors,grass,89,10,Andy Reid,John Harbaugh,Clay Martin,KAN00,GEHA Field at Arrowhead Stadium
2025092811,4,REG,LV,24,CHI,25,2025-09-28,16:25,0,dome,grass,NA,NA,Pete Carroll,Ben Johnson,Adrian Hill,VEG00,Allegiant Stadium
2025092812,4,REG,DAL,40,GB,40,2025-09-28,20:20,1,closed,matrixturf,NA,NA,Brian Schottenheimer,Matt LaFleur,Ron Torbert,DAL00,AT&T Stadium
2025092900,4,REG,MIA,27,NYJ,21,2025-09-29,19:15,0,outdoors,grass,88,17,Mike McDaniel,Aaron Glenn,Craig Wrolstad,MIA00,Hard Rock Stadium
2025092901,4,REG,DEN,28,CIN,3,2025-09-29,20:15,0,outdoors,grass,66,12,Sean Payton,Zac Taylor,Alex Moore,DEN00,Empower Field at Mile High
2025100200,5,REG,LA,23,SF,26,2025-10-02,20:15,1,dome,matrixturf,NA,NA,Sean McVay,Kyle Shanahan,Bill Vinovich,LAX01,SoFi Stadium
2025100500,5,REG,CLE,17,MIN,21,2025-10-05,09:30,0,outdoors,grass,61,14,Kevin Stefanski,Kevin O'Connell,Scott Novak,CLE00,FirstEnergy Stadium
2025100501,5,REG,BAL,10,HOU,44,2025-10-05,13:00,0,outdoors,grass,78,2,John Harbaugh,DeMeco Ryans,Land Clark,BAL00,M&T Bank Stadium
2025100502,5,REG,CAR,27,MIA,24,2025-10-05,13:00,0,outdoors,grass,77,8,Dave Canales,Mike McDaniel,Clay Martin,CAR00,Bank of America Stadium
2025100503,5,REG,IND,40,LV,6,2025-10-05,13:00,0,closed,fieldturf,NA,NA,Shane Steichen,Pete Carroll,Alex Kemp,IND00,Lucas Oil Stadium
2025100504,5,REG,NO,26,NYG,14,2025-10-05,13:00,0,dome,sportturf,NA,NA,Kellen Moore,Brian Daboll,Alan Eck,NOR00,Mercedes-Benz Superdome
2025100505,5,REG,NYJ,22,DAL,37,2025-10-05,13:00,0,outdoors,fieldturf,82,3,Aaron Glenn,Brian Schottenheimer,Alex Moore,NYC01,MetLife Stadium
2025100506,5,REG,PHI,17,DEN,21,2025-10-05,13:00,0,outdoors,grass,80,6,Nick Sirianni,Sean Payton,Adrian Hill,PHI00,Lincoln Financial Field
2025100507,5,REG,ARI,21,TEN,22,2025-10-05,16:05,0,closed,grass,NA,NA,Jonathan Gannon,Brian Callahan,Shawn Smith,PHO00,State Farm Stadium
2025100508,5,REG,SEA,35,TB,38,2025-10-05,16:05,0,outdoors,fieldturf,61,8,Mike Macdonald,Todd Bowles,Craig Wrolstad,SEA00,Lumen Field
2025100509,5,REG,CIN,24,DET,37,2025-10-05,16:25,0,outdoors,fieldturf,84,7,Zac Taylor,Dan Campbell,Carl Cheffers,CIN00,Paycor Stadium
2025100510,5,REG,LAC,10,WAS,27,2025-10-05,16:25,0,dome,matrixturf,NA,NA,Jim Harbaugh,Dan Quinn,John Hussey,LAX01,SoFi Stadium
2025100511,5,REG,BUF,20,NE,23,2025-10-05,20:20,0,outdoors,a_turf,66,3,Sean McDermott,Mike Vrabel,Shawn Hochuli,BUF00,New Era Field
2025100600,5,REG,JAX,31,KC,28,2025-10-06,20:15,0,outdoors,grass,80,12,Liam Coen,Andy Reid,Brad Rogers,JAX00,TIAA Bank Stadium
2025100900,6,REG,NYG,34,PHI,17,2025-10-09,20:15,0,outdoors,fieldturf,53,3,Brian Daboll,Nick Sirianni,Clete Blakeman,NYC01,MetLife Stadium
2025101200,6,REG,NYJ,11,DEN,13,2025-10-12,09:30,0,outdoors,grass,59,6,Aaron Glenn,Sean Payton,Land Clark,NYC01,MetLife Stadium
2025101201,6,REG,BAL,3,LA,17,2025-10-12,13:00,0,outdoors,grass,64,15,John Harbaugh,Sean McVay,Alex Kemp,BAL00,M&T Bank Stadium
2025101202,6,REG,CAR,30,DAL,27,2025-10-12,13:00,0,outdoors,grass,68,15,Dave Canales,Brian Schottenheimer,John Hussey,CAR00,Bank of America Stadium
2025101203,6,REG,IND,31,ARI,27,2025-10-12,13:00,0,closed,fieldturf,NA,NA,Shane Steichen,Jonathan Gannon,Shawn Hochuli,IND00,Lucas Oil Stadium
2025101204,6,REG,JAX,12,SEA,20,2025-10-12,13:00,0,outdoors,grass,76,8,Liam Coen,Mike Macdonald,Clay Martin,JAX00,TIAA Bank Stadium
2025101205,6,REG,MIA,27,LAC,29,2025-10-12,13:00,0,outdoors,grass,85,4,Mike McDaniel,Jim Harbaugh,Bill Vinovich,MIA00,Hard Rock Stadium
2025101210,6,REG,NO,19,NE,25,2025-10-12,13:00,0,dome,sportturf,NA,NA,Kellen Moore,Mike Vrabel,Adrian Hill,NOR00,Mercedes-Benz Superdome
2025101206,6,REG,PIT,23,CLE,9,2025-10-12,13:00,0,outdoors,grass,64,8,Mike Tomlin,Kevin Stefanski,Ron Torbert,PIT00,Acrisure Stadium
2025101208,6,REG,LV,20,TEN,10,2025-10-12,16:05,0,dome,grass,NA,NA,Pete Carroll,Brian Callahan,Carl Cheffers,VEG00,Allegiant Stadium
2025101209,6,REG,GB,27,CIN,18,2025-10-12,16:25,0,outdoors,grass,64,14,Matt LaFleur,Zac Taylor,Brad Allen,GNB00,Lambeau Field
2025101207,6,REG,TB,30,SF,19,2025-10-12,16:25,0,outdoors,grass,82,10,Todd Bowles,Kyle Shanahan,Brad Rogers,TAM00,Raymond James Stadium
2025101211,6,REG,KC,30,DET,17,2025-10-12,20:20,0,outdoors,grass,85,13,Andy Reid,Dan Campbell,Craig Wrolstad,KAN00,GEHA Field at Arrowhead Stadium
2025101300,6,REG,ATL,24,BUF,14,2025-10-13,19:15,0,closed,fieldturf,NA,NA,Raheem Morris,Sean McDermott,Shawn Smith,ATL97,Mercedes-Benz Stadium
2025101301,6,REG,WAS,24,CHI,25,2025-10-13,20:15,0,outdoors,grass,59,12,Dan Quinn,Ben Johnson,Alex Moore,WAS00,FedExField
2025101600,7,REG,CIN,33,PIT,31,2025-10-16,20:15,0,outdoors,fieldturf,60,5,Zac Taylor,Mike Tomlin,Clay Martin,CIN00,Paycor Stadium
2025101900,7,REG,JAX,7,LA,35,2025-10-19,09:30,0,outdoors,grass,59,9,Liam Coen,Sean McVay,Adrian Hill,JAX00,TIAA Bank Stadium
2025101901,7,REG,CHI,26,NO,14,2025-10-19,13:00,0,outdoors,grass,49,8,Ben Johnson,Kellen Moore,Scott Novak,CHI98,Soldier Field
2025101902,7,REG,CLE,31,MIA,6,2025-10-19,13:00,0,outdoors,grass,65,17,Kevin Stefanski,Mike McDaniel,Shawn Hochuli,CLE00,FirstEnergy Stadium
2025101903,7,REG,KC,31,LV,0,2025-10-19,13:00,0,outdoors,grass,57,9,Andy Reid,Pete Carroll,Clete Blakeman,KAN00,GEHA Field at Arrowhead Stadium
2025101904,7,REG,MIN,22,PHI,28,2025-10-19,13:00,0,dome,sportturf,NA,NA,Kevin O'Connell,Nick Sirianni,Bill Vinovich,MIN01,U.S. Bank Stadium
2025101905,7,REG,NYJ,6,CAR,13,2025-10-19,13:00,0,outdoors,fieldturf,71,13,Aaron Glenn,Dave Canales,Brad Rogers,NYC01,MetLife Stadium
2025101906,7,REG,TEN,13,NE,31,2025-10-19,13:00,0,outdoors,grass,60,18,Brian Callahan,Mike Vrabel,Craig Wrolstad,NAS00,Nissan Stadium
2025101907,7,REG,DEN,33,NYG,32,2025-10-19,16:05,0,outdoors,grass,72,3,Sean Payton,Brian Daboll,Brad Allen,DEN00,Empower Field at Mile High
2025101908,7,REG,LAC,24,IND,38,2025-10-19,16:05,0,dome,matrixturf,NA,NA,Jim Harbaugh,Shane Steichen,Alan Eck,LAX01,SoFi Stadium
2025101909,7,REG,ARI,23,GB,27,2025-10-19,16:25,0,closed,grass,NA,NA,Jonathan Gannon,Matt LaFleur,Alex Moore,PHO00,State Farm Stadium
2025101910,7,REG,DAL,44,WAS,22,2025-10-19,16:25,0,closed,matrixturf,NA,NA,Brian Schottenheimer,Dan Quinn,Alex Kemp,DAL00,AT&T Stadium
2025101911,7,REG,SF,20,ATL,10,2025-10-19,20:20,0,outdoors,grass,74,5,Kyle Shanahan,Raheem Morris,Ron Torbert,SFO01,Levi's Stadium
2025102000,7,REG,DET,24,TB,9,2025-10-20,19:00,0,dome,fieldturf,NA,NA,Dan Campbell,Todd Bowles,John Hussey,DET00,Ford Field
2025102001,7,REG,SEA,27,HOU,19,2025-10-20,22:00,0,outdoors,fieldturf,56,5,Mike Macdonald,DeMeco Ryans,Carl Cheffers,SEA00,Lumen Field
2025102300,8,REG,LAC,37,MIN,10,2025-10-23,20:15,0,dome,matrixturf,NA,NA,Jim Harbaugh,Kevin O'Connell,Clete Blakeman,LAX01,SoFi Stadium
2025102600,8,REG,ATL,10,MIA,34,2025-10-26,13:00,0,closed,fieldturf,NA,NA,Raheem Morris,Mike McDaniel,John Hussey,ATL97,Mercedes-Benz Stadium
2025102601,8,REG,BAL,30,CHI,16,2025-10-26,13:00,0,outdoors,grass,60,2,John Harbaugh,Ben Johnson,Shawn Smith,BAL00,M&T Bank Stadium
2025102602,8,REG,CAR,9,BUF,40,2025-10-26,13:00,0,outdoors,grass,63,9,Dave Canales,Sean McDermott,Craig Wrolstad,CAR00,Bank of America Stadium
2025102603,8,REG,CIN,38,NYJ,39,2025-10-26,13:00,0,outdoors,fieldturf,57,8,Zac Taylor,Aaron Glenn,Scott Novak,CIN00,Paycor Stadium
2025102604,8,REG,HOU,26,SF,15,2025-10-26,13:00,0,closed,astroturf,NA,NA,DeMeco Ryans,Kyle Shanahan,Alan Eck,HOU00,NRG Stadium
2025102605,8,REG,NE,32,CLE,13,2025-10-26,13:00,0,outdoors,fieldturf,53,7,Mike Vrabel,Kevin Stefanski,Alex Moore,BOS00,Gillette Stadium
2025102606,8,REG,PHI,38,NYG,20,2025-10-26,13:00,0,outdoors,grass,60,4,Nick Sirianni,Brian Daboll,Brad Rogers,PHI00,Lincoln Financial Field
2025102607,8,REG,NO,3,TB,23,2025-10-26,16:05,0,dome,sportturf,NA,NA,Kellen Moore,Todd Bowles,Ron Torbert,NOR00,Mercedes-Benz Superdome
2025102608,8,REG,DEN,44,DAL,24,2025-10-26,16:25,0,outdoors,grass,67,4,Sean Payton,Brian Schottenheimer,Carl Cheffers,DEN00,Empower Field at Mile High
2025102609,8,REG,IND,38,TEN,14,2025-10-26,16:25,0,closed,fieldturf,NA,NA,Shane Steichen,Brian Callahan,Land Clark,IND00,Lucas Oil Stadium
2025102610,8,REG,PIT,25,GB,35,2025-10-26,20:20,0,outdoors,grass,46,5,Mike Tomlin,Matt LaFleur,Shawn Hochuli,PIT00,Acrisure Stadium
2025102700,8,REG,KC,28,WAS,7,2025-10-27,20:15,0,outdoors,grass,54,8,Andy Reid,Dan Quinn,Brad Allen,KAN00,GEHA Field at Arrowhead Stadium
2025103000,9,REG,MIA,6,BAL,28,2025-10-30,20:15,0,outdoors,grass,73,5,Mike McDaniel,John Harbaugh,Scott Novak,MIA00,Hard Rock Stadium
2025110200,9,REG,CIN,42,CHI,47,2025-11-02,13:00,0,outdoors,fieldturf,50,6,Zac Taylor,Ben Johnson,Clete Blakeman,CIN00,Paycor Stadium
2025110201,9,REG,DET,24,MIN,27,2025-11-02,13:00,0,dome,fieldturf,NA,NA,Dan Campbell,Kevin O'Connell,Clay Martin,DET00,Ford Field
2025110202,9,REG,GB,13,CAR,16,2025-11-02,13:00,0,outdoors,grass,47,15,Matt LaFleur,Dave Canales,Land Clark,GNB00,Lambeau Field
2025110203,9,REG,HOU,15,DEN,18,2025-11-02,13:00,0,closed,astroturf,NA,NA,DeMeco Ryans,Sean Payton,Ron Torbert,HOU00,NRG Stadium
2025110204,9,REG,NE,24,ATL,23,2025-11-02,13:00,0,outdoors,fieldturf,52,7,Mike Vrabel,Raheem Morris,Brad Allen,BOS00,Gillette Stadium
2025110205,9,REG,NYG,24,SF,34,2025-11-02,13:00,0,outdoors,fieldturf,56,5,Brian Daboll,Kyle Shanahan,John Hussey,NYC01,MetLife Stadium
2025110206,9,REG,PIT,27,IND,20,2025-11-02,13:00,0,outdoors,grass,56,2,Mike Tomlin,Shane Steichen,Craig Wrolstad,PIT00,Acrisure Stadium
2025110207,9,REG,TEN,20,LAC,27,2025-11-02,13:00,0,outdoors,grass,46,5,Brian Callahan,Jim Harbaugh,Alex Kemp,NAS00,Nissan Stadium
2025110208,9,REG,LA,34,NO,10,2025-11-02,16:05,0,dome,matrixturf,NA,NA,Sean McVay,Kellen Moore,Shawn Smith,LAX01,SoFi Stadium
2025110209,9,REG,LV,29,JAX,30,2025-11-02,16:05,1,dome,grass,NA,NA,Pete Carroll,Liam Coen,Alan Eck,VEG00,Allegiant Stadium
2025110210,9,REG,BUF,28,KC,21,2025-11-02,16:25,0,outdoors,a_turf,54,6,Sean McDermott,Andy Reid,Carl Cheffers,BUF00,New Era Field
2025110211,9,REG,WAS,14,SEA,38,2025-11-02,20:20,0,outdoors,grass,53,3,Dan Quinn,Mike Macdonald,Bill Vinovich,WAS00,FedExField
2025110300,9,REG,DAL,17,ARI,27,2025-11-03,20:15,0,closed,matrixturf,NA,NA,Brian Schottenheimer,Jonathan Gannon,Adrian Hill,DAL00,AT&T Stadium
